Substrate,Enzyme,Time,alphaNH
30,3,5740,27.904290269290936
30,3,5745,27.90935051264088
30,3,5750,27.914410755990833
30,3,5755,27.919470999340785
30,3,5760,27.927904738257368
30,3,5765,27.934651729390634
30,3,5770,27.943507152311035
30,3,5775,27.952362581115455
30,3,5780,27.961218004035857
30,3,5785,27.975555360194043
30,3,5790,27.977242107977364
30,3,5800,27.987784284565098
30,3,5805,27.9966397074855
30,3,5810,28.003808388506602
30,3,5815,28.01645899688148
30,3,5820,28.023627672018563
30,3,5825,28.029109605256348
30,3,5830,28.03459153261012
30,3,5835,28.045555393201674
30,3,5840,28.06200118703102
30,3,5855,28.064109618818158
30,3,5860,28.06453130870599
30,3,5865,28.068326488276444
30,3,5900,28.07001323605976
30,3,5910,28.0733867316264
30,3,5915,28.07676022719303
30,3,5920,28.08182047054298
30,3,5925,28.092362647130717
30,3,5930,28.09910963826398
30,3,5935,28.100796386047293
30,3,5940,28.102483133830614
30,3,5945,28.107543377180562
30,3,5955,28.11260362053051
30,3,5960,28.124832539017543
30,3,5970,28.12989278236749
30,3,5980,28.13115784614699
30,3,5985,28.136218089496936
30,3,5990,28.142965080630205
30,3,5995,28.14971207176347
30,3,6000,28.150977129658948
30,3,6005,28.157724120792217
30,3,6010,28.166157859708797
30,3,6015,28.172904850842063
30,3,6020,28.181760279646483
30,3,6045,28.184712085325277
30,3,6070,28.189350644671407
30,3,6085,28.190194018563066
30,3,6090,28.194832572025174
30,3,6095,28.195675945916836
30,3,6100,28.20537474861291
30,3,6105,28.21549523531281
30,3,6110,28.21676029320829
30,3,6115,28.218025356987788
30,3,6125,28.222663910449896
30,3,6130,28.223507284341554
30,3,6135,28.224350658233213
30,3,6140,28.227302469796022
30,3,6145,28.233627771041455
30,3,6150,28.243326573737534
30,3,6155,28.251338622766276
30,3,6160,28.26145910946617
30,3,6170,28.2660976688123
30,3,6175,28.269049474491098
30,3,6185,28.273688033837225
30,3,6190,28.27832658729934
30,3,6195,28.28127839886215
30,3,6200,28.284230204540947
30,3,6205,28.285495268320442
30,3,6210,28.288447073999237
30,3,6215,28.295194065132502
30,3,6220,28.303627804049082
30,3,6245,28.3065796156119
30,3,6250,28.311218169074007
30,3,6255,28.312483232853506
30,3,6260,28.315435038532296
30,3,6265,28.31838685009511
30,3,6270,28.31965190799059
30,3,6275,28.325977215120034
30,3,6280,28.3327242062533
30,3,6285,28.335676011932097
30,3,6290,28.340314571278224
30,3,6295,28.344953124740336
30,3,6300,28.34790493630315
30,3,6305,28.35802542300305
30,3,6360,28.361820602573502
30,3,6370,28.363507350356816
30,3,6375,28.365194098140133
30,3,6385,28.3719410892734
30,3,6390,28.382483265861133
30,3,6395,28.391338688781538
30,3,6400,28.400194117585958
30,3,6405,28.402302549373093
30,3,6410,28.404410987044244
30,3,6420,28.4082061666147
30,3,6425,28.41706159541912
30,3,6430,28.420856774989574
30,3,6435,28.42633870822736
30,3,6440,28.430133887797812
30,3,6445,28.4356158210356
30,3,6450,28.44109774838937
30,3,6455,28.441519438277204
30,3,6460,28.443627870064343
30,3,6465,28.445736307735498
30,3,6470,28.44615799173932
30,3,6475,28.44826642941047
30,3,6480,28.450374861197613
30,3,6485,28.452483298868767
30,3,6490,28.4545917306559
30,3,6495,28.465555591247462
30,3,6500,28.47314595627238
30,3,6505,28.479049573513986
30,3,6515,28.488326686322228
30,3,6520,28.494230303563835
30,3,6525,28.50561585404323
30,3,6530,28.517001398638612
30,3,6535,28.533868876471768
30,3,6540,28.54904960652162
30,3,6545,28.56423033657147
30,3,6550,28.56718214813428
30,3,6555,28.573929139267545
30,3,6560,28.58404962596744
30,3,6565,28.59627854445448
30,3,6570,28.608507468825533
30,3,6575,28.617362891745934
30,3,6580,28.62242313509588
30,3,6585,28.62748337844583
30,3,6590,28.634652059466937
30,3,6595,28.639712302816882
30,3,6605,28.6413990506002
30,3,6625,28.648146041733465
30,3,6630,28.65868821243718
30,3,6655,28.661640024
30,3,6665,28.664591829678788
30,3,6675,28.670917136808235
30,3,6680,28.67892918583698
30,3,6685,28.68356774518311
30,3,6690,28.68820629864522
30,3,6695,28.68947136242472
30,3,6700,28.694109915886823
30,3,6710,28.697061727449643
30,3,6715,28.705495466366227
30,3,6720,28.708447272045017
30,3,6745,28.71097739371999
30,3,6760,28.718567758744914
30,3,6765,28.724471375986525
30,3,6770,28.730374993228132
30,3,6775,28.736278610469743
30,3,6780,28.742182227711346
30,3,6785,28.7442906653825
30,3,6790,28.75356777819074
30,3,6795,28.757784647649032
30,3,6800,28.770856940027723
30,3,6805,28.782242490507123
30,3,6810,28.79194128731918
30,3,6815,28.799953342231944
30,3,6820,28.816820820065104
30,3,6825,28.82862805454832
30,3,6830,28.845917216385303
30,3,6835,28.864893131889623
30,3,6840,28.878808798159973
30,3,6845,28.88386904150992
30,3,6850,28.90157989323475
30,3,6855,28.92139918263072
30,3,6860,28.93236304322228
30,3,6865,28.94543533560097
30,3,6875,28.947965457275945
30,3,6880,28.953869074517552
30,3,6890,28.958085943975846
30,3,6900,28.958507633863682
30,3,6905,28.958929317867504
30,3,6910,28.961037755538655
30,3,6925,28.96651968289243
